Fecha,Hora,Pronosticada,Minera,Variable,Estacion
05/04/2023,0,39.1,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,1,77.4,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,2,20.6,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,3,15.2,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,4,14.9,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,5,48.0,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,6,80.0,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,7,44.2,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,8,141.9,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,9,113.8,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,10,143.6,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,11,94.2,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,12,46.2,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,13,48.5,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,14,29.3,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,15,29.4,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,16,20.4,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,17,50.7,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,18,17.7,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,19,20.8,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,20,52.9,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,21,30.0,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,22,83.2,Sierra Gorda,MP10,Sierra Gorda
05/04/2023,23,33.8,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,0,39.1,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,1,34.2,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,2,21.4,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,3,22.7,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,4,27.2,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,5,30.3,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,6,26.0,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,7,64.9,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,8,96.6,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,9,62.8,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,10,171.2,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,11,122.0,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,12,66.5,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,13,60.9,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,14,82.2,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,15,47.6,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,16,29.6,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,17,35.1,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,18,138.4,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,19,92.7,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,20,41.8,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,21,75.6,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,22,83.2,Sierra Gorda,MP10,Sierra Gorda
05/05/2023,23,62.6,Sierra Gorda,MP10,Sierra Gorda
05/06/2023,0,50.8,Sierra Gorda,MP10,Sierra Gorda
05/06/2023,1,23.2,Sierra Gorda,MP10,Sierra Gorda
05/06/2023,2,17.9,Sierra Gorda,MP10,Sierra Gorda
05/06/2023,3,18.2,Sierra Gorda,MP10,Sierra Gorda
05/06/2023,4,13.8,Sierra Gorda,MP10,Sierra Gorda
05/06/2023,5,30.3,Sierra Gorda,MP10,Sierra Gorda
05/06/2023,6,74.7,Sierra Gorda,MP10,Sierra Gorda
05/06/2023,7,22.8,Sierra Gorda,MP10,Sierra Gorda
05/06/2023,8,54.8,Sierra Gorda,MP10,Sierra Gorda
05/06/2023,9,42.3,Sierra Gorda,MP10,Sierra Gorda
05/06/2023,10,168.2,Sierra Gorda,MP10,Sierra Gorda
05/06/2023,11,65.8,Sierra Gorda,MP10,Sierra Gorda
05/06/2023,12,92.3,Sierra Gorda,MP10,Sierra Gorda
05/06/2023,13,62.1,Sierra Gorda,MP10,Sierra Gorda
